record_number,normalized_year,vd17_id,title,Member_number_new,First_name_new,Last_name_new,Society_name_new,GND,role2,field_code,genre
10175,1672,31:749223W,Abschrifft eines Schreibens/ Welches Von Sr. Churfürstl. Durchl. zu Brandenburg An ein hochwürdigstes Thum-Capitul zu Cölln/ Unter dem 28. Octobris/ 1672 ...,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028A,Flugschrift
10346,1672,16:738057C,"Laudatio Hippodromi Frobeniani, & Palaestrarum Hinc Dependentium",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Rede
28052,1668,56:740619T,"Epularum Genialium Lege Julia Augustissimarum Serenissimi Ac Potentissimi Principis Ac Domini Dn. Friderici Wilhelmi Marchionis Brandenburgici ... Atqve Matris Gratiosissimæ, Serenissimse Principis Ac Dominae, Dnæ. Dorotheæ A Deo Datæ, Natæ Ducis Sclesvicensis ... Dn. Christiani Ludovici Ducis Brunsvicensis & Lunæburgensis Qvondam Viduæ Illvstrissimæ, Iam Novae Nvptae Principis Electoratvs Brandebvrgensis ... Congratvlantibvs ...",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Gelegenheitsschrift
101973,1647,23:744876N,"Salve Sive Oratio Gratulatoria & Salutatoria Ad ... Fridericvm Gvlielmvm, Marchionem Brandenbvrgensem, S.R.I. Electorem ... Ac Lvdovicam Principem ... Conjuges Cliviam suam ingressos, invisentes ac præsentiæ suæ splendore illustrantes ac exhilarantes",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Gelegenheitsschrift
101973,1647,23:744876N,"Salve Sive Oratio Gratulatoria & Salutatoria Ad ... Fridericvm Gvlielmvm, Marchionem Brandenbvrgensem, S.R.I. Electorem ... Ac Lvdovicam Principem ... Conjuges Cliviam suam ingressos, invisentes ac præsentiæ suæ splendore illustrantes ac exhilarantes",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Rede
250072,1688,23:745750C,La @Changement Glorieux De la Mortalité temporelle en l'Immortalitaté éternelle,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Gelegenheitsschrift
250072,1688,23:745750C,La @Changement Glorieux De la Mortalité temporelle en l'Immortalitaté éternelle,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Lyrik
250119,1688,15:741611M,Erb-Folge der Zwölf aus dem Hohen-Zollerischen/ und Burggräflich-Nürnbergischen Hause herstammenden Churfürsten und Marggrafen zu Brandenburg/ Bey dem den 12. Septembr. 1688 gehaltenen Höchst-ansehnlichen Leich-Begängniß Friederich Wilhelms des Groszen...,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,GefeierteR,028C,Einblattdruck
286200,1679,17:747716F,Antwort Der General Staaten/ Auff das Ihro churfürstlichen Durchl. von Brandenburg an Dieselbe gethane Schreiben,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,AdressatIn,028C,NA
286224,1679,15:744935K,Röm. Kayserl. Maytt. Antworth/ auff das Chur-Brandenburgische aus Dobran vom 24. Novembr. an Sie abgelassene Schreiben,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028C,Briefsammlung
294890,1677,35:752051N,"Wir Friderich Wilhelm/ von Gottes Gnaden/ Marggraff zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cammerer und Churfürst/ in Preussen/ zu Magdeburg/ Jülich/ Cleve/ Berge/ Stettin/ Pommern ... Entbieten allen Unsern Prälaten/ Graffen/ Herren ... Unser Gnädigen Gruß; Und ist denenselben bereits kund gethan/ aus was erheblichen und höchstdringenden Ursachen Wir zu Schutz Unserer sämptlichen Lande und zu Abwendung feindlichen Uberziehung ein extraordinaires Mittel/ als nemlich eine gewise Haupt-Steuer/ zu Unterhaltung Unserer Armée, über die vorige Contribution ergreiffen müssen ...",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028C,Geldwesen
294890,1677,35:752051N,"Wir Friderich Wilhelm/ von Gottes Gnaden/ Marggraff zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cammerer und Churfürst/ in Preussen/ zu Magdeburg/ Jülich/ Cleve/ Berge/ Stettin/ Pommern ... Entbieten allen Unsern Prälaten/ Graffen/ Herren ... Unser Gnädigen Gruß; Und ist denenselben bereits kund gethan/ aus was erheblichen und höchstdringenden Ursachen Wir zu Schutz Unserer sämptlichen Lande und zu Abwendung feindlichen Uberziehung ein extraordinaires Mittel/ als nemlich eine gewise Haupt-Steuer/ zu Unterhaltung Unserer Armée, über die vorige Contribution ergreiffen müssen ...",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028C,Einblattdruck
294890,1677,35:752051N,"Wir Friderich Wilhelm/ von Gottes Gnaden/ Marggraff zu Brandenburg/ des Heil. Röm. Reichs Ertz-Cammerer und Churfürst/ in Preussen/ zu Magdeburg/ Jülich/ Cleve/ Berge/ Stettin/ Pommern ... Entbieten allen Unsern Prälaten/ Graffen/ Herren ... Unser Gnädigen Gruß; Und ist denenselben bereits kund gethan/ aus was erheblichen und höchstdringenden Ursachen Wir zu Schutz Unserer sämptlichen Lande und zu Abwendung feindlichen Uberziehung ein extraordinaires Mittel/ als nemlich eine gewise Haupt-Steuer/ zu Unterhaltung Unserer Armée, über die vorige Contribution ergreiffen müssen ...",401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028C,Verordnung
303866,1675,56:740493P,Churfürstliche Brandenbürgische Antwort/ Auff Das von Ih. Königl. Maj. zu Schweden/ An die löbliche Stände deß Heil. Röm. Reichs den 16 Decemb. 1674 abgelassenes und in Drück publicirtes Schreiben,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,VerfasserIn,028A,Streitschrift
307995,1674,15:741450U,Sacræ R.giæ M.tis Literæ ad Dominum Electorem Brandenburgensem,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,AdressatIn,028C,Brief
265343,1684,23:744607P,"Virum Nobilissimum Præstrenuum atq[ue] Magnificum Dn. Christianum Laurentium, Ab Adlershelm, Sacræ Cæs. Majest. ut & Potentissimi Electoris Saxoniæ Joh. Georgii II. gloriosissimæ recordationis Consiliarium, Scribinatus Electoralis Assessorem Reipublicæq́ue Lipsiensis, & Consulem Seniorem hactenusq́ve regentem, Antistitem & Patronum de se immortaliter meritum luget Schola Lipsiensium Thomana",840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Gelegenheitsschrift
265343,1684,23:744607P,"Virum Nobilissimum Præstrenuum atq[ue] Magnificum Dn. Christianum Laurentium, Ab Adlershelm, Sacræ Cæs. Majest. ut & Potentissimi Electoris Saxoniæ Joh. Georgii II. gloriosissimæ recordationis Consiliarium, Scribinatus Electoralis Assessorem Reipublicæq́ue Lipsiensis, & Consulem Seniorem hactenusq́ve regentem, Antistitem & Patronum de se immortaliter meritum luget Schola Lipsiensium Thomana",840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Lyrik
265344,1684,23:744606F,Monumentum positum Beatissimis Manibus Christiani Laurentii Ab Adlershelm/ Consulis Lipsiensis. Idib. Febr. A.O.R. M.DC.LXXXIV.,840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Gelegenheitsschrift
265344,1684,23:744606F,Monumentum positum Beatissimis Manibus Christiani Laurentii Ab Adlershelm/ Consulis Lipsiensis. Idib. Febr. A.O.R. M.DC.LXXXIV.,840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Lyrik
265345,1684,23:744604R,"Cippus Sepulchralis Viro Magnifico, Præ-Nobilissimo, Atqve Præ-Strenuo, Dn. Christiano Laurentio ab Adlershelm, Sacræ Cæsareæ Majestatis, nec non Sereniss. Electoris Saxoniæ Consiliario, Scabinatûs Lipsiensis Assessori eijusdemq[ue] Reipubl. Consuli Seniori &c. ...",840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Gelegenheitsschrift
265345,1684,23:744604R,"Cippus Sepulchralis Viro Magnifico, Præ-Nobilissimo, Atqve Præ-Strenuo, Dn. Christiano Laurentio ab Adlershelm, Sacræ Cæsareæ Majestatis, nec non Sereniss. Electoris Saxoniæ Consiliario, Scabinatûs Lipsiensis Assessori eijusdemq[ue] Reipubl. Consuli Seniori &c. ...",840,Christian Lorentz von,Adlershelm,Der Immergrüne,gnd/12028300X,GefeierteR,028C,Lyrik
105263,1646,15:743893Y,"Dominus Wilhelmus Hassie Landgravius Regimen Principatus Hassiae Inferioris, post paternam abdicationem, auspicatus paulo post Schmalkaldiam, ad Dominum Georgium Hassiae Landgravium Legatos credentialibus literis, Cassellis 18. Martii, Anno 1627. ...",080,Landgraf Moritz von,Hessen-Kassel,Der Wohlgenannte,gnd/11858412X,VerfasserIn,028C,NA
234325,1692,23:752325Q,"Liebliches Friedens-Echo In des Weyland Hoch-Gebohrnen Grafen und Herrn/ Hn. Heinrich des Ersten/ Jüngerer Linie Reußen/ Grafen und Herrn von Plauen/ Herrn zu Gräiz/ Crannichfeld/ Gera/ Schläiz und Lobenstein/ [et]c. Valet- und Abschieds-Predigt/ Dem 3. April. 1692. gleich am Sonntage Quasimodogeniti, als dem Tag zuvor/ ehe der hochseelige Leichnam Zu seinem Erb-Begräbniß nach Schläiz abgeführet worden/ In dem Hoch-Gräflichen Tafel-Gemach zu Köstritz einfältig vorgetragen/ und itzo Auf sonderliches Gnädiges Begehren zum Druck befördert von M. Johann Knauer/ Conc. Aul. Schlaiz",550,Graf und Herr Heinrich I. Reuß,zu Schleiz,Der Zierliche,gnd/10425422X,GefeierteR,028C,Leichenpredigt
234364,1692,15:747795A,"Heinricus Primus Et Vere Heinricus, Et Vere Primus, Hoc Est, Illustrissimus Qvondam Comes Ac Dominus, Dn. Heinricus Primus, Juniores Lineæ Ruthenus, Comes Ac Dominus A Plavia, Dominus In Greiza, Cranichfelda, Gera, Schleiza Et Lobensteinio, Etc. ...Brevi Dissertatiuncula Descriptus, Qva Illustrissimos Comites Ac Dominos Juniores Ruthenos, Ut Et Plurimum Venerandos Dnn. Inspectores, ... clementer ac Benevole Orationem Parentalem, Piis Illiusdem Manibus Sacram",550,Graf und Herr Heinrich I. Reuß,zu Schleiz,Der Zierliche,gnd/10425422X,GefeierteR,028C,Gelegenheitsschrift
234364,1692,15:747795A,"Heinricus Primus Et Vere Heinricus, Et Vere Primus, Hoc Est, Illustrissimus Qvondam Comes Ac Dominus, Dn. Heinricus Primus, Juniores Lineæ Ruthenus, Comes Ac Dominus A Plavia, Dominus In Greiza, Cranichfelda, Gera, Schleiza Et Lobensteinio, Etc. ...Brevi Dissertatiuncula Descriptus, Qva Illustrissimos Comites Ac Dominos Juniores Ruthenos, Ut Et Plurimum Venerandos Dnn. Inspectores, ... clementer ac Benevole Orationem Parentalem, Piis Illiusdem Manibus Sacram",550,Graf und Herr Heinrich I. Reuß,zu Schleiz,Der Zierliche,gnd/10425422X,GefeierteR,028C,Hochschulschrift
303781,1675,27:751728E,Von Gottes Gnaden Wir Bernhard Herzog zu Sachsen/ Jülich/ Cleve und Berg ... Herr zum Ravenstein,427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,VerfasserIn,028A,Einblattdruck
303781,1675,27:751728E,Von Gottes Gnaden Wir Bernhard Herzog zu Sachsen/ Jülich/ Cleve und Berg ... Herr zum Ravenstein,427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,VerfasserIn,028A,Verordnung
307925,1674,1:749909S,"Solennia Vota Serenissimi Principis Ac Domini Domini Bernhardi, Ducis Saxoniae ... Natali Trigesimo Septimo Debita, Musis Academicis, Ad Humillimum Pietatis Officium, Devotissime Indicat Philippus Müllerus P.P.",427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,GefeierteR,028C,Einblattdruck
307925,1674,1:749909S,"Solennia Vota Serenissimi Principis Ac Domini Domini Bernhardi, Ducis Saxoniae ... Natali Trigesimo Septimo Debita, Musis Academicis, Ad Humillimum Pietatis Officium, Devotissime Indicat Philippus Müllerus P.P.",427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,GefeierteR,028C,Hochschulschrift
307925,1674,1:749909S,"Solennia Vota Serenissimi Principis Ac Domini Domini Bernhardi, Ducis Saxoniae ... Natali Trigesimo Septimo Debita, Musis Academicis, Ad Humillimum Pietatis Officium, Devotissime Indicat Philippus Müllerus P.P.",427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,GefeierteR,028C,Gelegenheitsschrift
307925,1674,1:749909S,"Solennia Vota Serenissimi Principis Ac Domini Domini Bernhardi, Ducis Saxoniae ... Natali Trigesimo Septimo Debita, Musis Academicis, Ad Humillimum Pietatis Officium, Devotissime Indicat Philippus Müllerus P.P.",427,Herzog Bernhard von,Sachsen-Jena,Der Nachfolgende,gnd/10230887X,GefeierteR,028C,Gelegenheitsschrift
121162,1639,23:742137X,Station. Oder Leich-Sermon,191,Freiherr Eberhard (von),Manteuffel gen. Szoege,Der Saurliche,gnd/1046133934,GefeierteR,028C,Leichenpredigt
23160,1669,17:751701P,Ordnung/ Derer In jedem Ampt deß Fürstenthumbs Hessen-Darmbstatt angestelten Ampts-Kirchen-Conventen,774,Landgraf Ludwig VI. von,Hessen-Darmstadt,Der Unerschrokkene,gnd/101248571,VerfasserIn,028C,Amtsdruckschrift
90244,1651,23:740364W,"Gratulatio De Adventu Auspicatisssimo Serenissimi Ac Celsissimi Principis Ac Domini, Dn. Ludovici, VI., Hassiæ Landgravii ... Nec Non ... Dn. Mariæ Elisabethæ ... Dn. Friderici, Hæredis Norwegiæ, Dvcis Sleswici, Holsatiæ .. Comitis in Oldenburg & Delmenhorst, &c. Filiæ ... Postquam Nvptiæ Prædictorvm Principvm, In Avla Gottorpiana Die 24. Novembris, Anno 1650. Magnificentißimè celebratæ fuissent, Ipsorúmq[ue] Celsitudines Gissæ die 21. Februarii Anno 1651. feliciter appulissent",774,Landgraf Ludwig VI. von,Hessen-Darmstadt,Der Unerschrokkene,gnd/101248571,GefeierteR,028C,Gelegenheitsschrift
90244,1651,23:740364W,"Gratulatio De Adventu Auspicatisssimo Serenissimi Ac Celsissimi Principis Ac Domini, Dn. Ludovici, VI., Hassiæ Landgravii ... Nec Non ... Dn. Mariæ Elisabethæ ... Dn. Friderici, Hæredis Norwegiæ, Dvcis Sleswici, Holsatiæ .. Comitis in Oldenburg & Delmenhorst, &c. Filiæ ... Postquam Nvptiæ Prædictorvm Principvm, In Avla Gottorpiana Die 24. Novembris, Anno 1650. Magnificentißimè celebratæ fuissent, Ipsorúmq[ue] Celsitudines Gissæ die 21. Februarii Anno 1651. feliciter appulissent",774,Landgraf Ludwig VI. von,Hessen-Darmstadt,Der Unerschrokkene,gnd/101248571,GefeierteR,028C,Lyrik
299882,1676,17:750353L,Unterthänigstes Vivat! und Frolocken Uber die geschlossene Heyraths-Verbündnuß Des Allerduchleuchtigsten/ Großmächtigsten und Unüberwindlichsten Fürsten und Herrens Herrn Leopolds Erwöhlten Römischen Käysers... Mit der Durchleuchtigsten Princessin/ Princessin Magdalenen Elisabethen Theresien/ Pfalzgräffin bey Rhein/ in Bäyern/ zu Gülch/ Cleve und Berg... Dem Durchleuchtigsten Fürsten und Herren/ Herren Ludwigen/ Landgraffen zu Hessen... unsern allerseits gnädigsten Fürsten und Herren/ als Höchstgedachte Käyserliche Majestät/ durch dero heutige vollzogene Eheliche Einsegnung/ sich mit Höchstgemeldter Seiner fürstl. Durchl. und dero gantzen Hoch-Fürstl. Familia... verblutfreundschafftet,774,Landgraf Ludwig VI. von,Hessen-Darmstadt,Der Unerschrokkene,gnd/101248571,GefeierteR,028C,Gelegenheitsschrift
299882,1676,17:750353L,Unterthänigstes Vivat! und Frolocken Uber die geschlossene Heyraths-Verbündnuß Des Allerduchleuchtigsten/ Großmächtigsten und Unüberwindlichsten Fürsten und Herrens Herrn Leopolds Erwöhlten Römischen Käysers... Mit der Durchleuchtigsten Princessin/ Princessin Magdalenen Elisabethen Theresien/ Pfalzgräffin bey Rhein/ in Bäyern/ zu Gülch/ Cleve und Berg... Dem Durchleuchtigsten Fürsten und Herren/ Herren Ludwigen/ Landgraffen zu Hessen... unsern allerseits gnädigsten Fürsten und Herren/ als Höchstgedachte Käyserliche Majestät/ durch dero heutige vollzogene Eheliche Einsegnung/ sich mit Höchstgemeldter Seiner fürstl. Durchl. und dero gantzen Hoch-Fürstl. Familia... verblutfreundschafftet,774,Landgraf Ludwig VI. von,Hessen-Darmstadt,Der Unerschrokkene,gnd/101248571,GefeierteR,028C,Gelegenheitsschrift
127478,1636,32:739389H,Ein @Kling-Gedichte Von der SiebenLust,335,Michael,Engelhardt,Der Übertreffende,gnd/1042780358,WidmendeR,028C,Lyrik
87510,1652,23:741498F,Des @wahren Christenthumbs gründliche Betrachtung,119,Friedrich von,Leliwa,Der Leschende,gnd/1041291248,GefeierteR,028C,Leichenpredigt
35426,1666,547:743490D,Dem @Durchleuchtigsten/ Hochgebohrnen Fürsten Herren Ernsten/ Hertzogen zu Sachsen/ Gülich/ Cleve und Bergk/ Landtgraffen in Thüringen ... Meinem gnädigsten Fürsten und Herren ... Offeriret vorgesetzten Abriß Unterthänigst Ewer Fürstl. Durchl. Unterthänigster gehorsambster Vasal und Diener Johan: Georg: von Bendeleben/ ObristLeut. der Käyserl. Freyen Reichs Stadt Bremen,847,Johann Georg von,Bendeleben,Der Gewapnete,gnd/1034668358,VerfasserIn,028A,Einblattdruck
35426,1666,547:743490D,Dem @Durchleuchtigsten/ Hochgebohrnen Fürsten Herren Ernsten/ Hertzogen zu Sachsen/ Gülich/ Cleve und Bergk/ Landtgraffen in Thüringen ... Meinem gnädigsten Fürsten und Herren ... Offeriret vorgesetzten Abriß Unterthänigst Ewer Fürstl. Durchl. Unterthänigster gehorsambster Vasal und Diener Johan: Georg: von Bendeleben/ ObristLeut. der Käyserl. Freyen Reichs Stadt Bremen,847,Johann Georg von,Bendeleben,Der Gewapnete,gnd/1034668358,VerfasserIn,028A,Gelegenheitsschrift
177757,1618,17:750411Z,Votivae adclamationes in Laurum Apollinarem Mich. Bartschii Lauba-Lusati,481,Herr Rudolph von,Dietrichstein,Der Ätzende,gnd/1012812383,VerfasserIn,028C,Gelegenheitsschrift
149900,1627,15:747181F,"Disputatio Juridico-Politica, De Nobilitate",549,Hans Caspar von,Miltitz,Der Hochwachsende,gnd/173061591,RespondentIn,028C,Dissertation
149900,1627,15:747181F,"Disputatio Juridico-Politica, De Nobilitate",549,Hans Caspar von,Miltitz,Der Hochwachsende,gnd/173061591,RespondentIn,028C,Hochschulschrift
294883,1677,12:752627W,"Des @Durchleuchtigsten Fürsten und Herrn/ Herrn Christian Ludwig/ Hertzogen zu Mechelburg/ [et]c. ... Geheimen Rahts/ und Vortrefflichen Gesandten Zum allgemeinen Reichs-Tag alhier in Regenspurg ... Des Hoch-Wohlgebohrnen Herrn/ Herrn Michael Albert Frantz Freyherrn von Schwan/ Nach hefftig/ aber gantz geduldig ausgestandener Sechs Tägigen Kranckheit/ An einem hitzigen Catharr-Fieber/ Jm acht und viertzigsten Jahr seines Alters/ Den 7. (17.) Januarij, M.DC.LXXVII. Von Seinem Gott erlangete Passeporten Zu dem Wahren/ Seligen und Ewigen Friede",676,Freiherr Michael Albrecht von,Schwan,Der Niederliegende,gnd/130853534,GefeierteR,028C,Gelegenheitsschrift
294883,1677,12:752627W,"Des @Durchleuchtigsten Fürsten und Herrn/ Herrn Christian Ludwig/ Hertzogen zu Mechelburg/ [et]c. ... Geheimen Rahts/ und Vortrefflichen Gesandten Zum allgemeinen Reichs-Tag alhier in Regenspurg ... Des Hoch-Wohlgebohrnen Herrn/ Herrn Michael Albert Frantz Freyherrn von Schwan/ Nach hefftig/ aber gantz geduldig ausgestandener Sechs Tägigen Kranckheit/ An einem hitzigen Catharr-Fieber/ Jm acht und viertzigsten Jahr seines Alters/ Den 7. (17.) Januarij, M.DC.LXXVII. Von Seinem Gott erlangete Passeporten Zu dem Wahren/ Seligen und Ewigen Friede",676,Freiherr Michael Albrecht von,Schwan,Der Niederliegende,gnd/130853534,GefeierteR,028C,Lyrik
