record_number,normalized_year,vd17_id,title,Member_number_new,First_name_new,Last_name_new,Society_name_new,GND,role2,field_code,original_language,intermediary_language,publication_language,genre
77500,1656,23:295923X,Copia Eines Schreibens/ Welches Seine Churfürstl. Durchleucht. zu Brandenburg/ etc. etc. An die Hochmögende Herren Staten Gener. der vereinigten Nieder-Landen den 6. Julii abgehen lassen,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,dut,NA,ger,Amtsdruckschrift
264118,1685,39:122532M,Hochverdienter HeldenLorber; Siegs- und Ehrn-Palmen,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,fre,NA,ger,NA
268985,1684,1:086712U,Ihro Churfürstlichen Durchläuchtigkeit zu Brandenburg Lob-Rede,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,NA,028C,fre,NA,ger,Rede
281453,1681,125:043753B,Dem @Durchleuchtigsten/ Großmaechtigsten Fuersten und Herrn/ Hn. Friderich Wilhelm/ Marggrafen zu Brandenburg/ des Heiligen Roemischen Reichs Ertz-Caemmerern und Chur-Fuersten in Preussen/ zu Magdeburg/ Juelich/ Cleve/ Berg/ Stettin/ Pommern/ der Cassuben und Wenden/ auch in Schlesien/ zu Crossen und Jaegerndorff Hertzogen/ Burggrafen zu Nuernberg/ Fuersten zu Halberstadt/ Minden und Camin/ Grafen zu der Marck und Ravensberg/ Herrn zu Ravenstein/ der Lande Lauenburg und Buetow/ &c. ... Bey der Solennen Erb-Huldigung Des Hertzogthumbs Magdeburg,401,Kurfürst Friedrich Wilhelm von,Brandenburg,Der Untadeliche,gnd/11853596X,Festschrift,028C,lat,NA,ger,Gelegenheitsschrift
210757,1609,23:261229C,"Oratio Gratulatoria, Oder Eine Ruhm und GlückwunschsRede/ Den ... Herrn Adolph Friederich/ Und Herrn Johann Albrecht/ Hertzogen zu Mecklenburg ... Als II. FF. GG. am 25. Iunii gen Colpin ankamen/ wie zum anfang der Fürstlichen Regierung gebräuchlich/ den HuldigungsEydt von der Ritterschafft des Stargardischen Kreyses zu nemen/ Zu Ehren und Wolgefallen",158,Herzog Johann Albrecht II. von,Mecklenburg-Güstrow,Der Vollkommene,gnd/10142552X,NA,028C,lat,NA,ger,Rede
210757,1609,23:261229C,"Oratio Gratulatoria, Oder Eine Ruhm und GlückwunschsRede/ Den ... Herrn Adolph Friederich/ Und Herrn Johann Albrecht/ Hertzogen zu Mecklenburg ... Als II. FF. GG. am 25. Iunii gen Colpin ankamen/ wie zum anfang der Fürstlichen Regierung gebräuchlich/ den HuldigungsEydt von der Ritterschafft des Stargardischen Kreyses zu nemen/ Zu Ehren und Wolgefallen",158,Herzog Johann Albrecht II. von,Mecklenburg-Güstrow,Der Vollkommene,gnd/10142552X,NA,028C,lat,NA,ger,Gelegenheitsschrift
169712,1694,23:652425T,Bestehend In ihren Facciaten oder Förder-Gibel/ Grund-Riß/ Durchschnitt- und Profilen,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,028C,lat,NA,ger,Topographie
169712,1694,23:652425T,Bestehend In ihren Facciaten oder Förder-Gibel/ Grund-Riß/ Durchschnitt- und Profilen,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,028C,lat,NA,ger,Gesellschaftsschrift
262689,1685,23:652418K,Des @Alten und Neuen Roms Grosser Schau-Platz Oder Wahre und eigentliche Abbildung derjenigen Welt-Stadt,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,028C,lat,NA,ger,Topographie
262689,1685,23:652418K,Des @Alten und Neuen Roms Grosser Schau-Platz Oder Wahre und eigentliche Abbildung derjenigen Welt-Stadt,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,028C,lat,NA,ger,Gesellschaftsschrift
262689,1685,23:652418K,Des @Alten und Neuen Roms Grosser Schau-Platz Oder Wahre und eigentliche Abbildung derjenigen Welt-Stadt,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,033J,lat,NA,ger,Topographie
262689,1685,23:652418K,Des @Alten und Neuen Roms Grosser Schau-Platz Oder Wahre und eigentliche Abbildung derjenigen Welt-Stadt,863,Joachim von,Sandrart,Der Gemeinnützige,gnd/118794396,NA,033J,lat,NA,ger,Gesellschaftsschrift
43063,1665,1:043814P,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
43063,1665,1:043814P,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
60198,1661,23:256407D,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,Pseud.,028C,lat,NA,ger,Altertumskunde
60198,1661,23:256407D,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,Pseud.,028C,lat,NA,ger,Biographie
60198,1661,23:256407D,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,Pseud.,028C,lat,NA,ger,Gesellschaftsschrift
68469,1658,12:625589W,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
68469,1658,12:625589W,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
70829,1658,39:121218Y,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
70829,1658,39:121218Y,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
251591,1688,1:043810H,"Cornelius Nepos Oder Aemilius Probus, @Von dem Leben und Thaten Vortrefflicher Helden",660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
251591,1688,1:043810H,"Cornelius Nepos Oder Aemilius Probus, @Von dem Leben und Thaten Vortrefflicher Helden",660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
258911,1686,7:660184C,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten Vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
258911,1686,7:660184C,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten Vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
286310,1679,32:737939Z,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
286310,1679,32:737939Z,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
288584,1679,12:625593G,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Gesellschaftsschrift
288584,1679,12:625593G,Cornelius Nepos Oder Aemilius Probus/ @Von dem Leben und Thaten vortrefflicher Helden,660,Graf Johann Dietrich von,Kunowitz,Der Vollziehende,gnd/104133309,NA,028C,lat,NA,ger,Biographie
44030,1665,23:253529Z,Des @Glükkes Wunderbahres Spiel,459,Herzog Franz Erdmann von,Sachsen-Lauenburg,Der Fortwuchernde,gnd/1014477336,NA,028C,ita,NA,ger,Roman
44030,1665,23:253529Z,Des @Glükkes Wunderbahres Spiel,459,Herzog Franz Erdmann von,Sachsen-Lauenburg,Der Fortwuchernde,gnd/1014477336,NA,028C,ita,NA,ger,Gesellschaftsschrift
89430,1652,3:001008X,Frantz Carls/ Hertzogens zu Sachsen etc. @Zierliche und hochweise Rede vor Teutschland,269,Herzog Franz Carl von,Sachsen-Lauenburg,Der Schönste,gnd/136198368,NA,028A,lat,NA,ger,Rede
117852,1641,14:676171C,Herrn von Rivery @Schatzkäm[m]erlein Heilsamer Zuneigungen,041,Hans Ernst von,Börstel,Der Bittere,gnd/128609966,NA,028C,fre,NA,ger,NA
162822,1623,23:280828E,Schatzkämmerlein Heilsamer Zuneigungen,041,Hans Ernst von,Börstel,Der Bittere,gnd/128609966,NA,028C,fre,NA,ger,NA
84370,1654,23:287564Q,Vertheidigung der Kunstliebenden und Gelehrten anständigere Sitten,540,Graf Georg Adam von,Kuefstein,Der Kunstliebende,gnd/128492066,NA,028C,ita,NA,ger,Gesellschaftsschrift
84370,1654,23:287564Q,Vertheidigung der Kunstliebenden und Gelehrten anständigere Sitten,540,Graf Georg Adam von,Kuefstein,Der Kunstliebende,gnd/128492066,NA,028C,ita,NA,ger,Ordensliteratur
24562,1669,23:620631M,Lebens-Geschichte Heinrichs des Grossen Königes In Franckreich,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,Biographie
27548,1669,39:120794T,Von dem Glükke Fürnehmer Herren Und Edelleute,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,NA
31161,1668,3:300775L,Gabriel Naudaeens @Politisches Bedencken über die Staats-streiche,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,Streitschrift
39109,1666,23:328716V,Von dem Seelen-Friede und von der Gemüths-Vergnügung,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,NA
264033,1685,3:007925N,Von dem Seelen-Friede/ und von der Gemüths-Vergnügung/,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,NA
293823,1678,23:328721P,Von dem Seelen-Friede Und von der Gemüths-Vergnügung/,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,NA
294324,1678,3:311003U,Gabriel Naudaeens @Politisches Bedencken über die Staats-streiche,775,Christian von,Ryssel,Der Beschirmete,gnd/124290744,NA,028C,fre,NA,ger,Streitschrift
132451,1634,23:322124C,"Copey Eines Schreibens und Berichts von Wien/ Den 2. Martii/ 1634. vom Span[n]ischen Extraordinari-Ambassadoren/ Graven von Ognate, an Cardinal Infant auß Spannien/ jetzo zu Mayland",194,Herzog Franz Albrecht von,Sachsen-Lauenburg,Der Weiße,gnd/122811364,NA,028G,spa,NA,ger,Flugschrift
132451,1634,23:322124C,"Copey Eines Schreibens und Berichts von Wien/ Den 2. Martii/ 1634. vom Span[n]ischen Extraordinari-Ambassadoren/ Graven von Ognate, an Cardinal Infant auß Spannien/ jetzo zu Mayland",194,Herzog Franz Albrecht von,Sachsen-Lauenburg,Der Weiße,gnd/122811364,NA,028G,spa,NA,ger,Gelegenheitsschrift
84440,1654,23:258058F,Viertzig Durchläuchtige Frauen. Oder Deroselben Viertzig Heroische Reden/ Samt ihren eigentlichen Abbildungen,339,Paris von,dem Werder,Der Friedfertige,gnd/121547906,NA,028C,fre,NA,ger,Biographie
84440,1654,23:258058F,Viertzig Durchläuchtige Frauen. Oder Deroselben Viertzig Heroische Reden/ Samt ihren eigentlichen Abbildungen,339,Paris von,dem Werder,Der Friedfertige,gnd/121547906,NA,028C,fre,NA,ger,Frauenliteratur
168116,1621,1:070025F,Wolgegründeter Bericht und Unterricht/ Wegen des jtzigen Böhemischen Zustandes,311,Herzog Julius Heinrich von,Sachsen-Lauenburg,Der Glückhafte,gnd/121400719,NA,028A,lat,NA,ger,Chronik
173852,1620,39:120938V,Griechischer Sprach Ubung,361,Christian,Gueintz,Der Ordnende,gnd/120777193,NA,028C,grc,NA,ger,Schulbuch
73296,1657,14:009551P,Entwurff Des Feyerlichen Ehrenpreises/ Der Uber dem ... Abschied ... Johann Georgens des Grossen/ Hertzogens zu Sachsen ... und Churfürstens ... geschehen,873,Christian,Funcke,Der Funckende,gnd/120145812,NA,028A,lat,NA,ger,Gelegenheitsschrift
56225,1661,7:711345L,Wilhelms von Saluste/ Herren zu Bartas ... @Erste Woche/ Von Erschaffung der Welt und aller Geschöpffe,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
115432,1643,39:121003T,Der @weise Alte,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,NA
119009,1641,23:278065W,Willhelms von Saluste/ Herrn zu Barthas @Uranie Oder Himmlische Muse,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
120903,1640,39:120996U,Die @Erste und Andere Woche Wilhelms von Saluste Herren zu Bartas,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
138838,1631,14:666283B,Wilhelms von Saluste/ Herren zu Bartas ... @Erste Woche/ Von Erschaffung der Welt und aller Geschöpffe,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
140737,1631,39:120270X,Wilhelms von Saluste/ Herren zu Bartas Des vornemsten sinn: und geistreichst: auch unsträfflichsten Frantzösischen Pöeten/ vor/ zu und nach seiner zeit @Erste Woche/ Von Erschaffung der Welt und aller Geschöpffe,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
162676,1623,39:120244H,"L'Uranie. La Judith: La Lepanthe: La Victoire D'Yvry, &c. De Guillaume De Saluste Seigneur du Bartas. Das ist: Die himmlische Musa: Die History von Judith in 6. Büchern: Die Wasser-Schlacht und Sieg der Christen wieder die Türcken vor Lepantho/ [et]c. Die Schlacht und sieg vor Ivry/ so im jahr 1590. von I. Kön. M. in Franckreich [et]c. wieder ihre Feinde die Ligisten/ erhalten worden/ [et]c.",025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
165432,1622,3:005072Q,La @Seconde Sepmaine De Guillaume De Saluste Seigneur du Bartas,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
174469,1619,56:733588L,Georgii von Saluste Herrn von Bartas @Reymen-Gedichte genand Die Alt-Väter,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
175514,1619,7:628358W,Wilhelms von Saluste Herrn von Bartas @Reimen-Gedichte genand Die Alt-Väter,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
177236,1619,3:005070Z,"La @Vocation Oder Wilhelms von Saluste, Herrn von Bartas, Reimen-Gedichte genand Der Beruff",025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
177513,1619,23:289846S,La @Vocation Oder Der Beruff Wilhelms von Saluste Herrn von Bartas,025,Tobias,Hübner,Der Nutzbare,gnd/120079291,NA,028C,fre,NA,ger,Verserzählung
297535,1677,39:154119Y,Joseph Halls @Gewissens Rath/ das ist Nützliche Auflösung etlicher sonderbaren Fragen/ wornach ein Gottseliger Christ seinen täglichen Wandel prüfen und löblich einrichten soll,806,Martin von,Kempe,Der Erkohrne,gnd/119511231,NA,028C,eng,NA,ger,NA
297540,1677,39:155462Y,Zween erbauliche Tractätlein,806,Martin von,Kempe,Der Erkohrne,gnd/119511231,NA,028C,eng,NA,ger,NA
297948,1677,3:610854E,Der @gefallene doch wieder auffgerichtete Petrus und verzweifflender Judas/ Oder Schwachheit der Gläubigen/ und erschrekkliches Ende aller gottlosen Heuchler,806,Martin von,Kempe,Der Erkohrne,gnd/119511231,NA,028C,eng,NA,ger,NA
297998,1677,39:155455Q,Thomae Goodwin Weitberühmten Lehrers der H. Schrifft zu Oxfort in Engelland/ @Geistliches Kleeblat/ von Der Sünden insgemein/ wider das Gewissen und wider die Genade/ wie auch von der Thorheit des Rükfalls nach dem gesprochenen Frieden,806,Martin von,Kempe,Der Erkohrne,gnd/119511231,NA,028C,eng,NA,ger,NA
96297,1650,39:150717Y,Hundert Königliche Lehren/ und Väterliche Gebotte/ Welche Keyser Emanuel Palaeologus/ seinem Sohne Johanni Palaeologo/ (der ihm in dem Griechischen Keyserthume nachfolgen sollen) gegeben und fürgeleget,051,Fürst Christian II. von,Anhalt-Bernburg,Der Unveränderliche,gnd/119130947,NA,028C,fre,NA,ger,Fürstenspiegel
118663,1641,23:328411R,Von der Beharligkeit der Außerwehlten. Oder Von Bestendigkeit der Liebe Gottes,051,Fürst Christian II. von,Anhalt-Bernburg,Der Unveränderliche,gnd/119130947,NA,028C,fre,NA,ger,NA
122688,1639,23:254125B,Die @Unterweisung Eines Christlichen Fürsten,051,Fürst Christian II. von,Anhalt-Bernburg,Der Unveränderliche,gnd/119130947,NA,028C,spa,NA,ger,Fürstenspiegel
122688,1639,23:254125B,Die @Unterweisung Eines Christlichen Fürsten,051,Fürst Christian II. von,Anhalt-Bernburg,Der Unveränderliche,gnd/119130947,NA,028C,spa,NA,ger,Ordensliteratur
